countryCode,countryES,countryEN,countryFR,countryPT,institutionName,descriptionES,descriptionEN,descriptionFR,descriptionPT,logo,website,region,active
AR,Argentina,Argentina,Argentine,Argentina,Consejo Interuniversitario Nacional (CIN),"El Consejo Interuniversitario Nacional reúne a las universidades nacionales y provinciales de Argentina para coordinar políticas, fortalecer la calidad de la educación superior y promover la cooperación académica e institucional.","The National Interuniversity Council brings together Argentina's national and provincial universities to coordinate policies, strengthen the quality of higher education, and promote academic and institutional cooperation.","Le Conseil interuniversitaire national réunit les universités nationales et provinciales d'Argentine afin de coordonner les politiques, de renforcer la qualité de l'enseignement supérieur et de promouvoir la coopération académique et institutionnelle.","O Conselho Interuniversitário Nacional reúne as universidades nacionais e provinciais da Argentina para coordenar políticas, fortalecer a qualidade do ensino superior e promover a cooperação acadêmica e institucional.",https://static.wixstatic.com/media/aa7998_fbae6310158a402e81af605d85e27a33~mv2.png,,South America,TRUE
AR,Argentina,Argentina,Argentine,Argentina,ReLARIES,"ReLARIES impulsa la cooperación, el intercambio de experiencias y el fortalecimiento de la internacionalización de las instituciones de educación superior de América Latina y el Caribe.","ReLARIES promotes cooperation, the exchange of experiences and the strengthening of internationalization among higher education institutions in Latin America and the Caribbean.","ReLARIES favorise la coopération, l'échange d'expériences et le renforcement de l'internationalisation des établissements d'enseignement supérieur d'Amérique latine et des Caraïbes.","A ReLARIES promove a cooperação, o intercâmbio de experiências e o fortalecimento da internacionalização das instituições de ensino superior da América Latina e do Caribe.",,,South America,TRUE
BO,Bolivia,Bolivia,Bolivie,Bolívia,Asociación Nacional de Universidades Privadas (ANUP),"La ANUP representa a las universidades privadas de Bolivia, promoviendo la calidad académica, la cooperación institucional y el fortalecimiento de la educación superior.","ANUP represents Bolivia's private universities, promoting academic quality, institutional cooperation and the strengthening of higher education.","L'ANUP représente les universités privées de Bolivie et promeut la qualité académique, la coopération institutionnelle et le renforcement de l'enseignement supérieur.","A ANUP representa as universidades privadas da Bolívia, promovendo a qualidade acadêmica, a cooperação institucional e o fortalecimento do ensino superior.",https://static.wixstatic.com/media/aa7998_b823eb6fd98f4c8a9e75fb528c32cfa4~mv2.png,,South America,TRUE
BO,Bolivia,Bolivia,Bolivie,Bolívia,Comité Ejecutivo de la Universidad Boliviana (CEUB),"El CEUB coordina el Sistema de la Universidad Boliviana, impulsando el desarrollo académico, la investigación y la cooperación entre las universidades públicas del país.","CEUB coordinates the Bolivian University System, fostering academic development, research and cooperation among the country's public universities.","Le CEUB coordonne le système universitaire bolivien en favorisant le développement académique, la recherche et la coopération entre les universités publiques du pays.","O CEUB coordena o Sistema da Universidade Boliviana, impulsionando o desenvolvimento acadêmico, a pesquisa e a cooperação entre as universidades públicas do país.",https://static.wixstatic.com/media/aa7998_bb58308d8b664906b4388074fbf6f9df~mv2.png,,South America,TRUE
BR,Brasil,Brazil,Brésil,Brasil,Conselho de Reitores das Universidades Brasileiras (CRUB),"El CRUB reúne a rectores de universidades brasileñas para fortalecer la educación superior mediante la cooperación, el intercambio de experiencias y el desarrollo institucional.","CRUB brings together rectors of Brazilian universities to strengthen higher education through cooperation, exchange of experiences and institutional development.","Le CRUB réunit les recteurs des universités brésiliennes afin de renforcer l'enseignement supérieur grâce à la coopération, à l'échange d'expériences et au développement institutionnel.","O CRUB reúne reitores de universidades brasileiras para fortalecer o ensino superior por meio da cooperação, do intercâmbio de experiências e do desenvolvimento institucional.",https://static.wixstatic.com/media/aa7998_5668621362f44e14b598555eb79a3ce5~mv2.png,,South America,TRUE
CA,Canadá,Canada,Canada,Canadá,Fédération des cégeps,"La Fédération des cégeps representa a los cégeps públicos de Quebec y trabaja para fortalecer la calidad educativa, la cooperación institucional y la internacionalización.","The Fédération des cégeps represents Quebec's public cégeps and works to strengthen educational quality, institutional cooperation and internationalization.","La Fédération des cégeps représente les cégeps publics du Québec et œuvre au renforcement de la qualité de l'enseignement, de la coopération institutionnelle et de l'internationalisation.","A Fédération des cégeps representa os cégeps públicos de Quebec e trabalha para fortalecer a qualidade educacional, a cooperação institucional e a internacionalização.",https://static.wixstatic.com/media/aa7998_9c10d52ec2454d969759c2e951f64ca8~mv2.png,,North America,TRUE
CA,Canadá,Canada,Canada,Canadá,Universities Canada,"Universities Canada representa a las universidades canadienses y promueve la excelencia académica, la investigación, la innovación y la cooperación internacional en educación superior.","Universities Canada represents Canadian universities and promotes academic excellence, research, innovation and international cooperation in higher education.","Universités Canada représente les universités canadiennes et promeut l'excellence académique, la recherche, l'innovation et la coopération internationale dans l'enseignement supérieur.","A Universities Canada representa as universidades canadenses e promove a excelência acadêmica, a pesquisa, a inovação e a cooperação internacional no ensino superior.",https://static.wixstatic.com/media/aa7998_e5644b1f9dca492c9f990e42cf4badc9~mv2.png,,North America,TRUE
CL,Chile,Chile,Chili,Chile,Consejo de Rectores de las Universidades Chilenas (CRUCH),"El CRUCH reúne a las principales universidades tradicionales de Chile y promueve la colaboración académica, la investigación y el fortalecimiento de la educación superior.","CRUCH brings together Chile's traditional universities and promotes academic collaboration, research and the strengthening of higher education.","Le CRUCH réunit les principales universités traditionnelles du Chili et promeut la collaboration académique, la recherche et le renforcement de l'enseignement supérieur.","O CRUCH reúne as principais universidades tradicionais do Chile e promove a colaboração acadêmica, a pesquisa e o fortalecimento do ensino superior.",https://static.wixstatic.com/media/aa7998_6b204d3d7f614d1b88fd170c8a994e4c~mv2.png,,South America,TRUE
CL,Chile,Chile,Chili,Chile,Consorcio de Universidades del Estado de Chile (CUECH),"El CUECH agrupa a las universidades estatales chilenas con el propósito de fortalecer la educación pública, la investigación y el desarrollo social y territorial del país.","CUECH brings together Chile's state universities to strengthen public higher education, research and the country's social and territorial development.","Le CUECH regroupe les universités publiques chiliennes afin de renforcer l'enseignement public, la recherche et le développement social et territorial du pays.","O CUECH reúne as universidades estatais chilenas com o objetivo de fortalecer a educação pública, a pesquisa e o desenvolvimento social e territorial do país.",https://static.wixstatic.com/media/aa7998_b47abee04a5d417a838ddf7be82aa0e0~mv2.png,,South America,TRUE
CL,Chile,Chile,Chili,Chile,Corporación de Universidades Privadas (CUP),"La CUP representa a universidades privadas chilenas comprometidas con la calidad académica, la innovación y el desarrollo de la educación superior.","CUP represents Chilean private universities committed to academic quality, innovation and the development of higher education.","La CUP représente les universités privées chiliennes engagées envers la qualité académique, l'innovation et le développement de l'enseignement supérieur.","A CUP representa universidades privadas chilenas comprometidas com a qualidade acadêmica, a inovação e o desenvolvimento do ensino superior.",https://static.wixstatic.com/media/aa7998_eccb55d84ca24e89b2a01393c9f38144~mv2.png,,South America,TRUE
CO,Colombia,Colombia,Colombie,Colômbia,Asociación Colombiana de Universidades (ASCUN),"ASCUN reúne a las instituciones de educación superior de Colombia para promover la calidad, la autonomía universitaria, la cooperación académica y la internacionalización.","ASCUN brings together Colombia's higher education institutions to promote quality, university autonomy, academic cooperation and internationalization.","L'ASCUN réunit les établissements d'enseignement supérieur de Colombie afin de promouvoir la qualité, l'autonomie universitaire, la coopération académique et l'internationalisation.","A ASCUN reúne as instituições de ensino superior da Colômbia para promover a qualidade, a autonomia universitária, a cooperação acadêmica e a internacionalização.",https://static.wixstatic.com/media/aa7998_7bcb6b04ce134c43b5efb161a27418e4~mv2.png,,South America,TRUE
